;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
2491;TacSat 6;USA;Operational Responsive Space (ORS) Office;Military;Technology Development;;LEO;;;2013;;Air Force Research Laboratory;USA;Atlas 5;;USA;USA;USA;increase_mission_performance_and_technology
2492;TanDEM-X;Germany;German Aerospace Center (DLR)/Astrium;Government;Earth Observation;;LEO;1350.0;;2010;5.0;EADS Astrium;France/UK/Germany/Spain;Dnepr;Will survey all 150 million square kilometers of earth surface. Works with TerraSAR-X for first three years.;EU;ROW;ROW;earth_observation_and_surveillance
2493;Tangguo Guan;China;Alibaba;Commercial;Communications;;LEO;25.0;;2018;;Unknown;China;Long March 4B;Owned by Alibaba, beems advertising to cell phones on Earth.;China;China;China;communication_and_positionning
2494;Tango;ESA;European Space Agency (ESA) (and 250 international scientific investigators);Government;Space Science;;Elliptical;1200.0;478;2000;4.0;Dornier Systems (Astrium) and 35 subcontractors;International;Soyuz;Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.;EU;ROW;Russia;space_science
2495;TanSat;China;China Meteorological Administration;Government;Earth Observation;;LEO;620.0;;2016;3.0;Shanghai Engineering Center for Microsatellites;China;Long March 2D;Carbon dioxide monitoring satellite.;China;China;China;earth_observation_and_surveillance
2496;Tanyusha No. 3;Russia;Southwestern State University;Civil;Technology Development;;LEO;5.0;;2018;;Southwestern State University;Russia;Manual Deployment;Technology experiments.;Russia;Russia;USA;increase_mission_performance_and_technology
2497;Tanyusha No. 4;Russia;Southwestern State University;Civil;Technology Development;;LEO;5.0;;2018;;Southwestern State University;Russia;Manual Deployment;Technology experiments.;Russia;Russia;USA;increase_mission_performance_and_technology
2498;TDO;USA;US Air Force;Military;Technology Development;;Elliptical;20.0;;2019;;Unknown;USA;Atlas 5;"""Testing orbital debris tracking capabilities.""";USA;USA;USA;increase_mission_performance_and_technology
2499;TDRS-10;USA;National Aeronautics and Space Administration (NASA);Government;Communications;;GEO;3180.0;1600;2002;11.0;Boeing Satellite Systems;USA;Atlas 2A;Tracking and communications with space shuttle, other missions.;USA;USA;USA;communication_and_positionning
2500;TDRS-11;USA;National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center;Government;Communications;;GEO;3454.0;1600;2013;15.0;Boeing Satellite Systems;USA;Atlas 5;New generation of tracking and commmunication satellites.;USA;USA;USA;communication_and_positionning
2501;TDRS-12;USA;National Aeronautics and Space Administration (NASA);Government;Communications;;GEO;3454.0;1600;2014;15.0;Boeing Satellite Systems;USA;Atlas 5;New generation of tracking and commmunication satellites.;USA;USA;USA;communication_and_positionning
2502;TDRS-13;USA;National Aeronautics and Space Administration (NASA);Government;Communications;Radar Imaging;GEO;3452.0;1600;2017;15.0;Boeing Satellite Systems;USA;Atlas 5;;USA;USA;USA;communication_and_positionning
2507;TDRS-8;USA;National Aeronautics and Space Administration (NASA);Government;Communications;;GEO;3180.0;1600;2000;11.0;Boeing Satellite Systems;USA;Atlas 2A;"Tracking and communications with space shuttle, other missions; not fully functional.";USA;USA;USA;communication_and_positionning
2508;TDRS-9;USA;National Aeronautics and Space Administration (NASA);Government;Communications;;GEO;3180.0;1600;2002;11.0;Boeing Satellite Systems;USA;Atlas 2A;Tracking and communications with space shuttle, other missions. In storage.;USA;USA;USA;communication_and_positionning
2509;TechEdSat 10;USA;NASA Ames Research Center;Government/Civil;Technology Development;;LEO;9.0;;2020;;NASA Ames Research Center/San Jose State;USA;Nanorack Deployer;Various experiments including a deorbiting technology.;USA;USA;USA;increase_mission_performance_and_technology
2510;Technosat;Germany;Technical University Berlin;Civil;Technology Demonstration;;LEO;18.0;;2017;2.0;Technical University Berlin;Germany;Soyuz 2.1a;Demonstrate a number of newly developed components in an operational setting.;EU;EU;Russia;increase_mission_performance_and_technology
2511;TecSAR;Israel;Defense Ministry;Military;Earth Observation;;LEO;300.0;260;2008;;Israel Aerospace Industries (IAI);Israel;PSLV C10;"Radar reconnaissance; one meter resolution. Said to carry a Synthetic Aperture Radar (SAR).";ROW;ROW;USA;earth_observation_and_surveillance
2512;TeLEOS 1;Singapore;AgilSpace;Commercial;Earth Observation;;LEO;400.0;;2015;5.0;ST Electronics Ltd.;Singapore;PSLV C29;Offers 1 m high-resolution satellite imagery with an average revisit time of 12 to 16 hours.;ROW;ROW;USA;earth_observation_and_surveillance
2513;Telkom 2;Indonesia;PT Telkomunikasi;Commercial;Communications;;GEO;1930.0;899;2005;15.0;Orbital Sciences Corp.;USA;Ariane 5 ECA;"24 C-band transponders; internet, data, voice and video services to Indonesia.";ROW;USA;EU;communication_and_positionning
2514;Telkom 3S;Indonesia;PT Telkomunikasi;Commercial;Communications;;GEO;3550.0;;2017;18.0;Thales Alenia Space;France/Italy;Ariane 5 ECA;Will replace Telkom 2.;ROW;EU;EU;communication_and_positionning
2515;Telstar 11N;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;4010.0;;2009;15.0;Space Systems/Loral;USA;Zenit 3SLB;"39 Ku-band transponders; North America, Europe, Africa, across Atlantic.";ROW;USA;ROW;communication_and_positionning
2517;Telstar 12V;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;4900.0;;2015;15.0;Airbus Defense and Space;France/UK/Germany/Spain;H2A;Only second time Japan has successfully launched a commercial geosynchronous satellite into orbit.;ROW;ROW;Japan;communication_and_positionning
2518;Telstar 14R;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;4970.0;2150;2011;15.0;Space Systems/Loral;USA;Proton;Five communications antennas and 46 Ku-band transponders -- 19 switchable and 27 fixed. Will also serve Brazil. Failed to fully deploy one of its solar panels.;ROW;USA;Russia;communication_and_positionning
2519;Telstar 18 Vantage;Canada;Telesat Canada Ltd. (BCE, Inc.)/APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;7060.0;;2018;15.0;Space Systems/Loral;USA;Falcon 9;APT Satellite will use 57.5 percent of capacity.;ROW;USA;USA;communication_and_positionning
2520;Telstar 19 Vantage;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;7075.0;;2018;15.0;Space Systems/Loral;USA;Falcon 9;Mix of Ka- and Ku-band capacity. Will serve the far north of Canada as well as other regions.;ROW;USA;USA;communication_and_positionning
2521;TEMPEST-D;USA;Colorado State University;Civil;Space Science;;LEO;10.0;;2018;1.0;Colorado State University, NASA Jet Propulsion Laboratory, Blue Canyon Technologies, Inc.;USA;Nanorack Deployer;Validate the performance of a CubeSat microwave radiometer designed to study precipitation events on a global scale.;USA;USA;USA;space_science
2522;Ten-Koh;Japan;Kyushu Institute of Technology (KIT);Civil;Space Science;;LEO;23.0;;2018;1.0;Kyushu Technical University;Japan;H2A;Will measure radiation, magnetic flux density and electron density for a mission lasting at least six months.;Japan;Japan;Japan;space_science
2523;TerraSAR X 1;Germany;German Aerospace Center (DLR)/Infoterra;Government/Commercial;Earth Observation;;LEO;1230.0;;2007;5.0;EADS Astrium;France/UK/Germany/Spain;Dnepr;"X-band radar system; monitor vegetation and crops across the globe, and special emphasis will be placed on keeping tabs on environmental changes. Commercial sale to business and military clients as well.";EU;ROW;ROW;earth_observation_and_surveillance
2524;TerraStar 1;USA;TerraStar Corporation;Commercial;Communications;;GEO;6910.0;;2009;15.0;Space Systems/Loral;USA;Ariane 5 ECA;"Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets.";USA;USA;EU;communication_and_positionning
2525;TESS;USA;National Aeronautics and Space Administration (NASA);Government;Space Science;;Elliptical;362.0;;2018;20.0;NASA/MIT;USA;Falcon 9;Built to find planets around other stars that are close enough for detailed follow-ups by future telescopes.;USA;USA;USA;space_science
2526;TET-1;Germany;German Aerospace Center (DLR);Commercial;Technology Development;;LEO;120.0;;2012;1.0;Kayser-Threde GmbH;Germany;Soyuz-Fregat;Center of the OOV (On Orbit Verification) Program, initiated to offer on-orbit verification possibilities to the German industrial and scientific aerospace community.;EU;EU;Russia;increase_mission_performance_and_technology
2527;Thaicom-4;Thailand;Thaicom Public Company Ltd. ;Commercial;Communications;Optical Imaging;GEO;6505.0;;2005;12.0;Space Systems/Loral;USA;Ariane 5G;84 Ku-band and 18-Ka band transponders, voice, video and broadband to 14 countries. Deal signed with Measat in 2011 - capacity on Thaicom 4 to be marketed in Malaysia as Measat 5.;ROW;USA;EU;communication_and_positionning
2528;Thaicom-6;Thailand;Thaicom Public Company Ltd. ;Commercial;Communications;;GEO;3325.0;;2014;15.0;Orbital Sciences Corp.;USA;Falcon 9;Comsat to serve the mainland of south east Asia, particularly Thailand. Some services will be provided to east Africa, including Madagascar.;ROW;USA;USA;communication_and_positionning
2529;Thaicom-8;Thailand;Thaicom Public Company Ltd. ;Commercial;Communications;;GEO;3025.0;;2016;15.0;Orbital ATK;USA;Falcon 9;;ROW;USA;USA;communication_and_positionning
2530;THEA;USA;SpaceQuest;Commercial;Technology Development;;LEO;4.0;;2018;;SpaceQuest, Ltd.;USA;Falcon 9;Test a spectrum survey payload developed by Aurora Insight.;USA;USA;USA;increase_mission_performance_and_technology
2531;THEMIS A;Multinational;National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada);Government/Civil;Space Science;;Elliptical;126.0;77;2007;2.0;Swales Aerospace;USA;Delta 2;"Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.";Int_coop;USA;USA;space_science
2532;THEMIS D;Multinational;National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada);Government/Civil;Space Science;Optical Imaging;Elliptical;126.0;77;2007;2.0;Swales Aerospace;USA;Delta 2;"Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.";Int_coop;USA;USA;space_science
2533;THEMIS E;Multinational;National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada);Government/Civil;Space Science;Optical Imaging;Elliptical;126.0;77;2007;2.0;Swales Aerospace;USA;Delta 2;"Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.";Int_coop;USA;USA;space_science
2534;Theos;Thailand;Geo-Informatics and Space Technology Development Agency (GISTDA);Government;Earth Observation;Optical Imaging;LEO;750.0;670;2008;5.0;EADS Astrium;France;Dnepr;"Panchromatic imager with 2M resolution; applications in cartography, land use, agricultural monitoring, forestry management, coastal zone monitoring and flood risk management.";ROW;EU;ROW;earth_observation_and_surveillance
2535;Thor-5 ;Norway;Telenor Satellite Broadcasting;Commercial;Communications;Optical Imaging;GEO;2024.0;;2008;15.0;Orbital Sciences Corp.;USA;Proton M;"25 Ku-band transponders; direct-to-home and Internet to Scandinavia, eastern Europe, Middle East.";EU;USA;Russia;communication_and_positionning
2536;Thor-6;Norway;Telenor Satellite Broadcasting;Commercial;Communications;Optical Imaging;GEO;3050.0;;2009;15.0;Thales Alenia Space;France/Italy;Ariane 5;"36 Ku-band transponders; Central and eastern Europe and Nordic region.";EU;EU;EU;communication_and_positionning
2537;Thor-7;Norway;Telenor Satellite Broadcasting;Commercial;Communications;;GEO;4600.0;;2015;15.0;Space Systems/Loral;USA;Ariane 5;21 Ku-band transponders and the equivalent of 25 Ka-band transponders. Oslo-based Telenor is using the satellite to break into the market for Ka-band broadband maritime communications, with the focus on the North Atlantic. - See more at: http://spacenews.com/ariane-5-launches-sicral-2-and-thor-7-telecommunications-satellites/#sthash.DdDKvkj6.dpuf;EU;USA;EU;communication_and_positionning
2538;Thuraya 2;United Arab Emirates;Thuraya Satellite Communications;Commercial;Communications;;GEO;5250.0;3200;2003;12.0;Hughes Space and Communications Co.;USA;Zenit 3SL;"Capacity for 13,750 simultaneous calls; voice, fax, data transmissions from/to mobile telephones; Middle East, North and Central Africa, Europe, Central Asia and the Indian subcontinent.";ROW;USA;ROW;communication_and_positionning
2539;Thuraya 3;United Arab Emirates;Thuraya Satellite Communications;Commercial;Communications;;GEO;5180.0;;2008;12.0;Boeing Satellite Systems;USA;Zenit 3SL;Mobile phone communication in eastern Asia, Middle East, Australia.;ROW;USA;ROW;communication_and_positionning
2540;Tianhui 1-01;China;China Aerospace Science and Technology Corp. (CASC);Government;Earth Observation;;LEO;2500.0;;2010;;DFH Satellite Co. Ltd.;China;Long March 2D;"Mapping  and land resource sruveys to promote economic development; 3-D survey camera, ground resolution of 5m; multi-spectrum at 10m.";China;China;China;earth_observation_and_surveillance
2541;Tianhui 1-02;China;China Aerospace Science and Technology Corp. (CASC);Government;Earth Observation;;LEO;2500.0;;2012;;DFH Satellite Co. Ltd.;China;Long March 2D;Cartographic imaging satellite capable of stereoscopic Earth photography, equipped with orbit adjustment engine to maintain height against air drag.;China;China;China;earth_observation_and_surveillance
2542;Tianhui 1-03;China;China Aerospace Science and Technology Corp. (CASC);Government;Earth Observation;;LEO;2500.0;;2015;;DFH Satellite Co. Ltd. ;China;Long March 2D;Cartographic imaging satellite capable of stereoscopic Earth photography, equipped with orbit adjustment engine to maintain height against air drag.;China;China;China;earth_observation_and_surveillance
2543;Tianhui 2-01;China;China Aerospace Science and Technology Corp. (CASC);Government;Earth Observation;;LEO;2500.0;;2019;;DFH Satellite Co. Ltd.;China;Long March 4B;;China;China;China;earth_observation_and_surveillance
2544;Tianhui 2-02;China;China Aerospace Science and Technology Corp. (CASC);Government;Earth Observation;;LEO;2500.0;;2019;;DFH Satellite Co. Ltd.;China;Long March 4B;;China;China;China;earth_observation_and_surveillance
2545;Tiankun-1;China;Chinese Academy of Launch Vehicle Technology (CASIC);Government;Earth Observation/Technology Development;;LEO;;;2017;;China Academy of Launch Vehicle Technology (CASIC);China;KT-2;Test of new rocket KT-1 and small satellite into orbit.;China;China;China;earth_observation_and_surveillance
2546;TianLian 1;China;China Aerospace Science and Technology Corp. (CASC);Government;Communications;Technology Development;GEO;3750.0;;2008;;China Academy of Space Technology (CAST);China;Long March 3C;China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication.;China;China;China;communication_and_positionning
2547;TianLian 2;China;China Aerospace Science and Technology Corp. (CASC);Government;Communications;Technology Development;GEO;2250.0;;2011;;China Academy of Space Technology (CAST);China;Long March 3C;Data relay satellite. Will cover Shenzhou missions and China's space station.;China;China;China;communication_and_positionning
2548;TianLian 2.01;China;China Aerospace Science and Technology Corp. (CASC);Government;Communications;;GEO;;;2019;;China Academy of Space Technology (CAST);China;Long March 3B;Second series for China's data relay satellites, used in manned space missions including space station.;China;China;China;communication_and_positionning
2549;TianLian 3 ;China;China Aerospace Science and Technology Corp. (CASC);Government;Communications;;GEO;2200.0;;2012;;China Academy of Space Technology (CAST);China;Long March 3C;Data relay satellite. Will cover Shenzhou missions and China's space station.;China;China;China;communication_and_positionning
2550;TianLian 4;China;China Aerospace Science and Technology Corp. (CASC);Government;Communications;Automatic Identification System (AIS);GEO;2200.0;;2016;;China Academy of Space Technology (CAST);China;Long March 3C;Fourth in a series of data relay satellites for upcoming Chinese space station.;China;China;China;communication_and_positionning
2551;Tianqi-1;China;Guodian Gaoke;Commercial;Communications;;LEO;8.0;;2018;;Guodian Gaoke;China;Long March 2C;;China;China;China;communication_and_positionning
2552;Tianqi-2;China;Guodian Gaoke;Commercial;Communications;;LEO;8.0;;2019;;Guodian Gaoke;China;Jielong 1;Provides Internet-of-Things (IoT) communications.;China;China;China;communication_and_positionning
2553;Tianqi-3;China;Guodian Gaoke;Commercial;Communications;;LEO;8.0;;2019;;Guodian Gaoke;China;Long March 11;Development of satellite technology for IoT Communications;China;China;China;communication_and_positionning
2554;Tianqi-4A;China;Guodian Gaoke;Commercial;Communications;;LEO;9.0;;2019;;Guodian Gaoke;China;Kuaizhou 1A;;China;China;China;communication_and_positionning
2555;Tianqi-4B;China;Guodian Gaoke;Commercial;Communications;;LEO;9.0;;2019;;Guodian Gaoke;China;Kuaizhou 1A;;China;China;China;communication_and_positionning
2556;Tianqi-5;China;Guodian Gaoke;Commercial;Communications;;LEO;9.0;;2020;;Guodian Gaoke;China;Long March 2D;;China;China;China;communication_and_positionning
2557;Tianqi-6;China;Guodian Gaoke;Commercial;Technology Development;;LEO;9.0;;2020;;Shanghai ASES Spaceflight Technology Co. Ltd.;China;Long March 4B;Technology verification tests for the narrow-band Internet of Things constellation.;China;China;China;increase_mission_performance_and_technology
2558;Tianqin-1;China;Sun Yat-sen University;Civil;Technology Development;;LEO;;;2019;;Sun Yat-sen University/CAST;China;Long March 4B;Experiments in micro propulsion technology, which could be used in future space-based gravitational wave detection.;China;China;China;increase_mission_performance_and_technology
2559;Tiantong-1;China;China Telecom;Government;Communications;;GEO;;;2016;;China Academy of Space Technology (CAST);China;Long March 3B;First satellite in China's mobile telecom network.;China;China;China;communication_and_positionning
2560;Tiantuo-2;China;National University of Defense Technology;Government;Earth Observation/Communications;Earth Science;LEO;67.0;;2014;;National University of Defense Technology;China;Long March 4B;Carries real-time video Earth imaging system and an AIS receive for relaying ship location information.;China;China;China;earth_observation_and_surveillance
2561;Tiantuo-3;China;National University of Defense Technology;Government;Technology Development;;LEO;20.0;;2015;;National University of Defense Technology;China;Long March 6;;China;China;China;increase_mission_performance_and_technology
2562;TW-1A;China;Shanghai Engineering Center for Microsatellites;Civil;Technology Development;;LEO;3.0;;2015;;Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites;China;Long March 11;Carries amateur radio platform.;China;China;China;increase_mission_performance_and_technology
2563;TW-1C;China;Nanjing University of Aeronautics and Astronautics;Civil;Technology Development;;LEO;5.0;;2015;;Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites;China;Long March 11;Carries amateur radio platform.;China;China;China;increase_mission_performance_and_technology
2564;Tianxiang-1;China;China Electronic Technology Group;Commercial;Technology Development;;LEO;;;2019;;China Electronic Techology Group;China;Long March 11;;China;China;China;increase_mission_performance_and_technology
2565;Tianxiang-2;China;China Electronic Technology Group;Commercial;Technology Development;;LEO;;;2019;;China Electronic Techology Group;China;Long March 11;;China;China;China;increase_mission_performance_and_technology
2566;Xiaoxiang-1;China;Spacety Aerospace Co.;Commercial;Technology Development;;LEO;3.0;;2019;;Spacety Aerospace Co.;China;Long March 11;Verify radio communication and small remote sensing experiments.;China;China;China;increase_mission_performance_and_technology
2567;Xiaoxiang 1-08;China/France;Spacety Aerospace Co./ThrustMe;Commercial;Technology Development;;LEO;9.0;;2019;;Spacety Aerospace Co.;China;Long March 4B;Testing an iodine-based propulsion system.;Int_coop;China;China;increase_mission_performance_and_technology
2568;TianYi-16;China;Spacety Aerospace Co.;Commercial;Technology Development;;LEO;9.0;;2019;;Spacety Aerospace Co.;China;Kuaizhou 1A;;China;China;China;increase_mission_performance_and_technology
2569;TianYi-17;China;Spacety Aerospace Co.;Commercial;Technology Development;;LEO;9.0;;2019;;Spacety Aerospace Co.;China;Kuaizhou 1A;;China;China;China;increase_mission_performance_and_technology
2570;TianYi-2;China;Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute;Commercial;Technology Development;;LEO;8.0;;2018;;Spacety Aerospace Co.;China;Long March 11;Demonstrate a small satellite stabilization system.;China;China;China;increase_mission_performance_and_technology
2571;TianYi-6;China;Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute;Commercial;Technology Development;;LEO;8.0;;2018;;Spacety Aerospace Co.;China;Long March 11;Demonstration of a future constellation concept for an integrated navigation and communications system ;China;China;China;increase_mission_performance_and_technology
2572;Tianzhi-1;China;Chinese Academy of Sciences (CAS)/China Academy of Space Technology;Government;Technology Development;;LEO;27.0;;2018;;Innovation Academy for Microsatellites (CAS);China;Long March 2D;Test satellite to be used to verify the key technologies of software-defined satellites.;China;China;China;increase_mission_performance_and_technology
2573;TIBA-1;Egypt;Ministry of Defense;Military/Commercial;Communications;;GEO;5600.0;;2019;15.0;Airbus Defense and Space/Thales Alenia Space;France/Italy;Ariane 5 ECA;Egypt's first dedicated military communications satellite.;ROW;EU;EU;communication_and_positionning
2574;TIGRISat;Iraq;La Sapienza University of Rome;Civil;Earth Observation;;LEO;1.0;;2014;;La Sapienza University of Rome;Italy;Dnepr;The satellite carries an RGB imaging system using a dust detection algorithm to detect, monitor and study dust storm events over Iraq.;ROW;EU;ROW;earth_observation_and_surveillance
2575;TIMED;USA;National Aeronautics and Space Administration (NASA)/Applied Physics Laboratory, Johns Hopkins;Government/Civil;Space Science;Electronic Intelligence;LEO;587.0;;2001;2.0;Applied Physics Laboratory, Johns Hopkins;USA;Delta 2;Study influences of the sun and humans on the least explored and understood region of Earth's atmosphere – the Mesosphere and Lower Thermosphere/Ionosphere (MLTI).;USA;USA;USA;space_science
2576;TJS-1;China;China Academy of Space Technology (CAST);Government;Technology Development;Electronic Intelligence;GEO;;;2015;;China Academy of Space Technology (CAST);China;Long March 3B;Communications technology test satellite.;China;China;China;increase_mission_performance_and_technology
2577;TJS-2;China;Shanghai Academy of Spaceflight Technology (SAST);Government;Technology Development;;GEO;;;2017;;Shanghai Academy of Spaceflight Technology;China;Long March 3B;Communications technology test satellite.;China;China;China;increase_mission_performance_and_technology
2578;TJS-3;China;China Academy of Space Technology (CAST);Government;Technology Development;Earth Science;GEO;;;2018;;China Academy of Space Technology (CAST);China;Long March 3C;Stated to be a communications technology test satellite. Thought by some to be military in nature.;China;China;China;increase_mission_performance_and_technology
2579;TJS-3 subsatellite;China;China Academy of Space Technology (CAST);Government;Technology Development;;GEO;;;2018;;China Academy of Space Technology (CAST);China;Long March 3C;Separated from TJS-3 in orbit. Nothing known about it.;China;China;China;increase_mission_performance_and_technology
2580;TJS-4;China;China Academy of Space Technology (CAST);Government;Technology Development;;GEO;;;2019;;China Academy of Space Technology (CAST);China;Long March 3B;Suspected by western analysts to be a satellite for collecting signals intelligence.;China;China;China;increase_mission_performance_and_technology
2581;TJS-5;China;Shanghai Academy of Spaceflight Technology (SAST);Government;Communications;;GEO;;;2020;;Shanghai Academy of Spaceflight Technology;China;Long March 3B;Both TJS 2 and 5 are suspected to have other purposes than communications, perhaps early warning function.;China;China;China;communication_and_positionning
2582;TKSat-1;Bolivia;Bolivia Aerospace Bureau;Government;Communications;;GEO;5000.0;;2013;;China Academy of Space Technology (CAST);China;Long March 3B;Bolivia's first communications satellite.;ROW;China;China;communication_and_positionning
2583;TRSI-Sat;Germany;ACME AtronOmatic (MyRadar);Commercial;Technology Development;;LEO;1.0;;2019;;ACME AtronOmatic (MyRadar);Germany;Electron;5 cm by 5 cm picosat.;EU;EU;USA;increase_mission_performance_and_technology
2585;Cosmos 2428;Russia;Ministry of Defense;Military;Earth Observation;;LEO;3200.0;;2007;;KB Yuznoye;Ukraine;Zenit 2M;"ELINT; likely the last satellite of this class; to be replaced by Liana system.";Russia;ROW;ROW;earth_observation_and_surveillance
2586;TSUBAME;Japan;Tokyo Institute of Technology, Tokyo University of Science and JAXA;Civil;Earth Observation;;LEO;49.0;;2014;;Tokyo Institute of Technology, Tokyo University of Science and JAXA;Japan;Dnepr;Earth observation and observation of gamma ray bursts from the sky.;Japan;Japan;ROW;earth_observation_and_surveillance
2587;TUGSat-1;Austria;Technical University of Graz;Civil;Technology Development;;LEO;14.0;7;2013;;University of Toronto Institute for Aerospace Studies (UTIAS);Canada;PSLV;Austria's first satellite.  Part of the international BRIght-star Target Explorer program -- The satellite will be used, along with five other spacecraft, to conduct photometric observations of stars with apparent magnitude of greater than 4.0 as seen from Earth.;EU;ROW;India;increase_mission_performance_and_technology
2588;Turkmen Alem 52E/MonacoSAT;Turkmenistan/Monaco;Turkmenistan Ministry of Communications/SSI-Monaco;Government/Commercial;Communications;;GEO;4700.0;1850;2015;15.0;Thales Alenia Space;France/Italy;Falcon 9;Joint ownership - Turkmenistan 26 transponders, Monaco 12 transponders. Central Asia, Middle East, North Africa.;Int_coop;EU;USA;communication_and_positionning
2589;Turksat 3A;Turkey;Turksat;Commercial;Communications;;GEO;3100.0;1272;2008;;Thales Alenia Space;France;Ariane 5 ECA;"24 Ku-band transponders; television service to Turkey.";ROW;EU;EU;communication_and_positionning
2590;Turksat 4A;Turkey;Turksat;Commercial;Communications;;GEO;4869.0;;2014;15.0;Mitsubishi Electric ;Japan;Proton;Will move to 42 East when joined by Turksat 4B.;ROW;Japan;Russia;communication_and_positionning
2591;Turksat 4B;Turkey;Turksat;Commercial;Communications;Optical Imaging;GEO;5000.0;;2015;15.0;Mitsubishi Electric ;Japan;Proton;;ROW;Japan;Russia;communication_and_positionning
2592;Tyvak 0092;Israel;Elbit Systems;Commercial;Technology Development;;LEO;5.0;;2019;;Elbit Systems;Israel;PSLV;;ROW;ROW;India;increase_mission_performance_and_technology
2593;Tyvak 0129;Israel;Elbit Systems;Commercial;Technology Development;;LEO;5.0;;2019;;Elbit Systems;Israel;PSLV;;ROW;ROW;India;increase_mission_performance_and_technology
2594;Tyvak-53b;USA;Tyvak Nanosatellite Systems, Inc.;Commercial;Technology Demonstration;Optical Imaging;LEO;4.5;;2017;;Tyvak Nanosatellite Systems;USA;PSLV;Validate technology aimed at helping to deorbit small satellites.;USA;USA;India;increase_mission_performance_and_technology
2595;Tyvak-61c;USA;Tyvak Nanosatellite Systems, Inc.;Commercial;Technology Demonstration;Optical Imaging;LEO;10.0;;2018;;Tyvak Nanosatellite Systems;USA;PSLV;Technology demonstration and astronomy mission with the primary objective of cataloging the variability of luminous stars. ;USA;USA;India;increase_mission_performance_and_technology
2597;USA 174;USA;US Navy;Military;Communications;Optical Imaging;GEO;3200.0;1545;2003;4.0;Boeing Satellite Systems;USA;Atlas 3;"Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.";USA;USA;USA;communication_and_positionning
2601;Uguisu;Japan;Kyushu Institute of Technology (KIT);Civil;Earth Observation;;LEO;1.0;;2019;1.5;Kyushu Institute of Technology (KIT);Japan;J-SSOD Deployer;Part of Birds-3 program.;Japan;Japan;Japan;earth_observation_and_surveillance
2602;UiTMSAT-1;Malaysia;Universiti Teknologi Mara (UiTM);Civil;Earth Observation;Earth Science;LEO;1.0;;2018;2.0;Kyushu Institute of Technology (KIT);Japan;J-SSOD Deployer;Developed under Birds-2 program of JAXA and Kyushu Institute of Technology, teaching other countries how to development satellite technology.;ROW;Japan;Japan;earth_observation_and_surveillance
2603;UK-DMC-2;United Kingdom;UK/DMC International Imaging (DMCII);Government;Earth Observation;Earth Science;LEO;96.5;;2009;5.0;Surrey Satellite Technology Ltd. (SSTL);UK;Dnepr;"Part of Disaster Monitoring Constellation second generation; five countries share all data.";EU;ROW;ROW;earth_observation_and_surveillance
2604;Ukube-1;United Kingdom;UK Space Agency;Government;Technology Development;;LEO;3.0;;2014;;Clyde Space;UK;Soyuz-2.1b;Technology demonstrator to show how impacts from cosmic particles can be used to increase the security of satellite communications.;EU;ROW;Russia;increase_mission_performance_and_technology
2605;UNIFORM 1;Japan;Wakayama University (UNIFORM consortium);Civil;Earth Observation;;LEO;50.0;;2014;;Wakayama University and other Japanese universities;Japan;H2A;Forest fire monitoring as part of a small constellation.;Japan;Japan;Japan;earth_observation_and_surveillance
2606;UNITE;USA;University of Southern Indiana/NASA;Civil;Space Science;;LEO;5.0;;2019;;University of Southern Indiana/NASA;USA;Nanorack Deployer;Main goal of the mission is to measure plasma in the lower ionosphere, a relatively unexplored region of space.;USA;USA;USA;space_science
